frame,track_id,x1,y1,x2,y2,conf
0,-1,314.7106,526.38776,366.62128,590.4844,0.9257323741912842
0,-1,1716.9819,320.99304,1748.408,383.62042,0.9226104021072388
0,-1,1133.8824,480.13522,1175.4642,543.63727,0.9221810698509216
0,-1,928.7545,197.80412,967.433,247.4036,0.920013427734375
0,-1,901.78827,573.5625,942.302,639.1197,0.9186126589775085
0,-1,1131.9435,344.34982,1168.1371,403.0038,0.9177443981170654
0,-1,1659.0674,461.47723,1695.8569,524.00964,0.9137507081031799
0,-1,1298.1632,810.6083,1329.3135,889.0305,0.912670373916626
0,-1,361.38776,377.62006,391.514,433.70728,0.9112023115158081
0,-1,342.14758,804.6087,377.6359,878.02484,0.9109264612197876
0,-1,289.35553,446.27957,316.5237,513.7173,0.9100834727287292
0,-1,734.60767,346.4084,771.86615,403.3477,0.909970223903656
0,-1,771.74194,396.64227,801.50903,456.06018,0.9091854095458984
0,-1,936.4391,268.332,959.77057,326.79663,0.9076784253120422
0,-1,1026.1104,147.0099,1051.0133,194.89574,0.9073317646980286
0,-1,848.63525,237.73471,890.16943,289.16336,0.9069505929946899
0,-1,446.59012,211.46672,482.79932,266.11435,0.903690755367279
0,-1,1473.2457,224.51756,1504.3656,272.12146,0.8906236886978149
0,-1,562.43524,95.3844,590.10706,142.60524,0.7681189775466919
0,-1,888.77124,149.92247,917.959,191.19824,0.7430939078330994
0,-1,903.8832,158.31807,939.00757,206.19781,0.7301797866821289
0,-1,1774.7645,54.61376,1804.7565,105.290634,0.47575482726097107
0,-1,468.452,75.67779,500.01407,120.09361,0.4198342263698578
0,-1,1269.5648,32.67516,1287.3634,72.472374,0.35176751017570496
0,-1,806.94104,5.4903746,826.95557,47.119926,0.17054668068885803
1,208,314.22562,526.24725,366.9006,591.3334,0.9255099296569824
1,209,1715.8911,320.71454,1747.7058,383.99146,0.9160159826278687
1,210,1132.9268,479.739,1174.5094,543.2609,0.9151718616485596
1,211,928.6604,198.78326,966.0925,246.81348,0.9148641228675842
1,212,897.7212,575.3978,937.21826,639.4209,0.9258957505226135
1,213,1131.5642,345.2404,1167.6007,403.62045,0.9123651385307312
1,214,1660.7731,461.61774,1697.5948,524.1852,0.9111703634262085
1,215,1298.9807,810.61255,1330.1697,889.34314,0.8973843455314636
1,216,363.24985,376.6274,393.36612,432.62015,0.9188985228538513
1,217,339.33524,802.80804,375.72922,878.0872,0.9091664552688599
1,218,289.51514,446.27423,316.40985,513.00635,0.9092205762863159
1,219,733.8693,346.25964,770.9257,402.85867,0.909286379814148
1,220,769.9199,393.4793,801.2946,456.05762,0.9231193661689758
1,221,935.9677,268.38876,959.26886,326.84644,0.902552604675293
1,222,1021.3083,146.52515,1046.7628,195.53137,0.8081046342849731
1,223,846.409,238.78058,888.005,290.33713,0.9087153673171997
1,224,444.80322,209.96605,481.81412,265.85498,0.9152284860610962
1,225,1473.7142,224.37787,1505.0884,272.39398,0.9035527110099792
1,226,560.4279,95.262794,588.25964,142.85287,0.7795776724815369
1,227,886.6259,149.92015,916.14246,191.66493,0.8003481030464172
1,228,904.1331,159.90744,938.3251,206.52826,0.7898441553115845
1,230,466.03928,74.52823,497.64612,118.99414,0.7993648052215576
2,208,310.19006,526.18384,362.8311,591.39197,0.9207128882408142
2,209,1715.1787,320.79633,1746.8513,383.2634,0.9217379689216614
2,210,1131.6544,480.86737,1172.611,543.6496,0.9080912470817566
2,211,928.44275,201.11937,964.40784,247.35245,0.897881031036377
2,212,894.3769,576.32715,933.173,639.43176,0.9142287373542786
2,213,1132.29,346.91232,1168.1798,405.11407,0.9073549509048462
