frame,broadcast_id,tacticam_id,distance
0,1.0,215.0,0.052530254066285746
0,2.0,213.0,0.09293683458294368
0,3.0,213.0,0.12172694015347296
1,1.0,215.0,0.033427045632837826
2,-1.0,215.0,0.03964314036661004
2,-1.0,210.0,0.05758770500441334
2,-1.0,210.0,0.09843089828998722
2,-1.0,220.0,0.04701774090849736
2,-1.0,221.0,0.04593984624007957
3,-1.0,220.0,0.050524709366170026
3,-1.0,216.0,0.1524058736864078
3,-1.0,213.0,0.008853599554567588
3,-1.0,215.0,0.05596739419756458
4,-1.0,220.0,0.055757227491071766
4,-1.0,218.0,0.06947686425337335
4,-1.0,210.0,0.14268872080839845
4,-1.0,218.0,0.01964539361633096
5,-1.0,215.0,0.09999656239607901
5,-1.0,217.0,0.24397221842871428
5,-1.0,210.0,0.0766563130236048
5,-1.0,212.0,0.10027313957343312
5,-1.0,212.0,0.06378133660927161
5,-1.0,214.0,0.03537606136302417
5,-1.0,214.0,0.10874892058643168
5,-1.0,212.0,0.12295970047514726
5,-1.0,214.0,0.12012778598127397
5,-1.0,214.0,0.04992518808040745
5,-1.0,214.0,0.09181226542227722
5,-1.0,213.0,0.07262128047333126
5,-1.0,213.0,0.10721871607451922
6,15.0,215.0,0.10165596024845486
6,16.0,217.0,0.2444354936863809
6,17.0,210.0,0.08047298560599697
6,18.0,212.0,0.10505819388338634
6,19.0,212.0,0.07048714862775075
6,20.0,214.0,0.03559304014254919
6,21.0,214.0,0.10509682378645781
6,22.0,212.0,0.1281004818438753
6,23.0,214.0,0.12224396846267292
6,24.0,214.0,0.046692834816210886
6,25.0,214.0,0.08789015682355708
6,26.0,213.0,0.07304579686294092
7,15.0,215.0,0.10028562758317086
7,16.0,217.0,0.2458771896691997
7,17.0,213.0,0.08217534288242745
7,18.0,212.0,0.10874702792957537
7,19.0,212.0,0.0753222740726767
7,20.0,214.0,0.03301118667855248
7,21.0,214.0,0.10182607314101616
7,22.0,212.0,0.13146316948903194
7,23.0,214.0,0.12416122876710349
7,24.0,214.0,0.05201583615928814
7,25.0,214.0,0.08677096853753245
7,26.0,213.0,0.07570650087589424
8,15.0,215.0,0.09163121163680485
8,16.0,217.0,0.25063367730230285
8,17.0,213.0,0.08445575159377922
8,18.0,212.0,0.11113267616158576
8,19.0,212.0,0.08128359437688842
8,20.0,214.0,0.028690972271188966
8,21.0,214.0,0.09757452473090694
8,22.0,212.0,0.13395438710934524
8,23.0,214.0,0.12689080205617667
8,24.0,214.0,0.04941823598098818
8,25.0,214.0,0.0915531250138369
